ebitda,industry,location,name,revenue
"$500,000",Manufacturing,"New Jersey, USA",Aerospace & Defense Component Manufacturing Company,"$2,000,000"
"$71,000",Technology,"Barnegat, NJ, USA",Small (MSP) Managed Service Provider book of business 1201,"$122,000"
"$1,579,707",Business Services,"New Jersey, USA",Staffing Firm With 800+ W2 Placements,"$32,621,137"
"$10,780",Software,"Fair Lawn, NJ, USA",Profitable High Level Project Management Software 1055,"$33,495"
"$14,485",Healthcare,"Hillsborough Township, NJ, USA",Patented Med Device 4 In Office Hemorrhoid Removal 1038,"$43,291"
$0,Manufacturing,"Ocean Township, NJ, USA",Breakthrough fire suppression innovation 984,"$12,000"
$0,Media,"New Jersey, USA",Fanominal Mobile App Brings Group Chat to Smart TV's,$0
"$500,000",Food,"NJ, US",Italian Restaurant,"$1,800,000"
"$575,000",Transportation,"NJ, US",Express/Flex Car Wash,"$1,220,000"
"$631,999",Construction,"NJ, US",Electrical Contractor,"$4,165,000"
"$486,705",Food,"NJ, US","Tapas Restaurant, Lounge, Nightclub and Bakery","$2,492,790"
"$1,950,000",Construction,"NJ, US",Fence Contractor & Supplier,"$5,500,000"
"$641,460",Construction,"NJ, US",Plumbing and Heating Service Business,"$3,787,407"
"$2,750,000",Manufacturing,"NJ, US",Window Manufacturing Business,"$15,000,000"
"$950,000",Retail,"NJ, US",Niche Specialty Dealer,"$3,400,000"
"$498,000",Healthcare,"NJ, US",Optometry Practice,"$2,400,000"
"$2,295,010",Retail,"NJ, US",Gun Retailer,"$17,356,602"
"$1,104,000",Manufacturing,"NJ, US",Cannabis Cultivator & Manufacturer,"$6,334,000"
"$518,000",Food,"NJ, US",Mexican Cuisine Bar/Restaurant,"$2,333,000"
"$1,848,653",Manufacturing,"NJ, US",Commercial Modular Furniture Manufacturer,"$7,581,726"
"$575,000",Food,"NJ, US",Wholesale Bread Bakery,"$2,400,000"
"$650,565",Construction,"NJ, US",Custom Home Builders,"$7,563,094"
"$704,561",Construction,"NJ, US",Electrical Contracting Firm,"$3,662,145"
"$533,000",Food,"NJ, US",Bar/Restaurant,"$1,576,000"
"$1,324,581",Wholesale,"NJ, US",Metal Distribution Business,"$6,342,042"
"$550,000",Food,"NJ, US",Bar / Restaurant,"$2,300,000"
"$600,000",Healthcare,"NJ, US",Medical Transportation Company,"$2,000,000"
"$748,000",Manufacturing,"NJ, US","Manufacturing, Distribution, Retail Business","$4,550,000"
"$550,000",Food,"NJ, US",Bar,"$2,300,000"
"$2,500,000",Manufacturing,"NJ, US",Steel Fabricator & Erector Company,"$25,500,000"
"$2,552,000",Manufacturing,"NJ, US",Manufacturing Company,"$9,870,000"
"$544,000",Transportation,"NJ, US",Full Service Car Wash & Lube,"$2,077,000"
"$1,201,152",Wholesale,"NJ, US",Appliances Sales and Service Business,"$12,268,764"
"$968,569",Manufacturing,"NJ, US",3rd Generation Precision Machine Shop,"$6,037,000"
"$1,639,600",Manufacturing,"NJ, US",Steel Fabricator/Erector,"$9,405,000"
"$3,285,000",Manufacturing,"NJ, US",Steel Fabricator & Erector Company,"$25,000,000"
"$643,245",Food,"NJ, US",Bar / Restaurant,"$2,567,790"
"$1,705,395",Construction,"NJ, US",General Contracting and Carpentry Firm,"$4,941,906"
"$731,575",Food,"NJ, US",Catering Business,"$4,175,000"
"$539,000",Healthcare,"NJ, US",Physical Therapy Practice,"$837,758"
"$710,906",Construction,"NJ, US",3D Documentation & Land Surveying Company,"$4,022,600"
