ebitda,industry,location,name,revenue
"$799,385",Construction,"Milwaukee, WI, USA",Property Management with 85% Multi-Family:  Owner will carry 25%,"$2,212,459"
"$5,467,484",Construction,"Sacramento, CA, USA",Plumbing with repeat GC Client Base: Over 90 Licensed Staff,"$21,701,442"
"$710,000",Manufacturing,"Wisconsin, USA",Leader in the development and manufacturing of specialty lifting products a,"$5,900,000"
"$408,000",Business Services,"Raleigh, NC, USA",Christian Full Service Ad Agency for Sale 1204,"$1,327,000"
"$276,536",Consumer Services,"Michigan, USA",Premier Party Tents & Rental Services Company - 845,"$1,084,709"
"$320,000",Insurance,"Brentwood, CA, USA",California Commercial P&C Insurance Agency 1196,"$3,659,812"
"$9,835,970",Manufacturing,"Florida, USA",Packaging & Wholesale of Holistic Goods: Owner will stay 5 years and carry,"$30,002,723"
"$94,262",Retail,United States,Custom Apparel Heat Transfer Designs eCommerce Store,"$531,141"
"$314,000",Construction,"Florida, USA","""Established SaaS Construction Industry Leader with 20-Year Track Record an","$1,400,000"
"$600,000",Construction,"Jackson, MS, USA",HVAC and plumbing company,"$2,300,000"
$0,Retail,"New York, NY, USA",Fashion Brand startup looking to finalize initial round of funding,$0
$0,Business Services,"Framingham, MA, USA",“Uber-style” SaaS For Delivering Packages For Sale 1203,"$2,237,001"
"$650,819",Transportation,"Houston, TX","FedEx Routes Business In Houston, TX","$1,820,050"
"$500,000",Manufacturing,"New Jersey, USA",Aerospace & Defense Component Manufacturing Company,"$2,000,000"
"$1,400,000",Healthcare,"California, USA",Medical Interpreting Company,"$6,000,000"
"$1,500,000",Manufacturing,"South Carolina, USA",Full Service Fencing Fabrication and Installation Business,"$6,230,000"
"$550,000",Transportation,South Carolina,Hotshot Trucking Business,"$1,581,595"
"$608,280",Retail,"North Carolina, USA",Highly Profitable Home Appliance Retailer,"$4,025,664"
"$1,200,000",Business Services,"New York State, USA",Specialty Contract Furniture Supplier,"$12,000,000"
"$16,000",Software,"Austin, TX, USA",Mobile app with 100K MAU ready to be optimized,"$22,000"
"$80,386",Consumer Services,"Lindsay, CA, USA",Central Valley CA Real Estate Included Smog Shop 1202,"$249,049"
$0,Food,"Miami, FL, USA",successful beverage distributor looking for investors,"$25,000,000"
"$646,304",Software,United States,Innovative SaaS Agriculture Platform Business,"$1,728,468"
"$4,300,000",Construction,"Utah, USA",$4.3M+ EBITDA Commercial Pool Building/Construction Business for Sale,"$18,000,000"
"$489,000",Construction,"Florida, USA",Electrical Trade Contractor in New Construction & Remodel,"$1,929,000"
"$71,000",Technology,"Barnegat, NJ, USA",Small (MSP) Managed Service Provider book of business 1201,"$122,000"
"$207,000",Food,Texas,Main Street Well-Run Catering Operation - Central Texas,"$1,415,795"
"$311,029",Technology,"Utah, USA",703888 - Managed IT Services Provider,"$1,673,993"
"$420,000",Media,"New York, NY, USA",SBA Preapproved World Class Backlinking/SEO/DataScience agency,"$1,500,000"
"$40,500",Business Services,"Charlotte, NC, USA",Promotional Products Company for Sale 1199,"$102,000"
"$1,400,000",Manufacturing,"Texas, USA",Established DFW Print Company,"$6,000,000"
"$550,000",Software,"Indianapolis, IN, USA",Business Intelligence Practice Seeks Buyer,"$1,600,000"
"$795,566",Construction,"Illinois, USA",Growing Niche Construction Engineering Company - 231,"$5,969,447"
"$325,305",Consumer Services,"Newport, ME, USA",Maine Retail Pharmacy for Sale 1198,"$977,742"
"$100,000",Consumer Services,"Philadelphia, PA, USA",Looking to sell 80% of $1m Company to an Operating Business Partner,"$1,000,000"
"$500,000",Business Services,"CT, USA",Custom Design Land/Hardscaping,"$5,500,000"
"$842,000",Business Services,"Texas, USA",Semi-Absentee Manufacturing Support Services,"$3,000,000"
"$250,325",Business Services,USA,SBA Pre-Qualified – Renewable Energy eCommerce Store,"$1,597,857"
"$136,594",Business Services,USA,SBA Pre-Qualified – Restaurant Supply eCommerce Store,"$908,244"
"$1,579,707",Business Services,"New Jersey, USA",Staffing Firm With 800+ W2 Placements,"$32,621,137"
"$1,193,986",Business Services,"New York, NY, USA",Multi Location Architecture Firm: Owners will carry 25%,"$6,452,099"
"$2,000,000",Construction,"Colorado, USA",OFF MARKET: Landscaping Company $2M in EBITDA,"$5,000,000"
"$39,299",Wholesale,"North Carolina, USA",*Turnaround* Global Industrial Supplies Distributor,"$7,064,840"
"$196,101",Construction,"Illinois, USA",Design and Project Management Company,"$1,898,706"
"$20,373",Manufacturing,"Illinois, USA",Packaging Services and Assembly Company,"$3,913,412"
"$200,000",Food,"Washington, D.C., USA",Local Gem Restaurant (approx. 100 seats) with Amazing Lease Terms!,"$900,000"
"$80,000",Consumer Services,"Charleston, SC, USA",South Carolina Salon and Day Spa Company for Sale 1197,"$190,000"
"$30,567",Software,Miami,"The Big Dink, Pickleball Co.  Looking for Sale or Partner","$82,367"
"$254,584",Construction,"Oklahoma City, OK, USA",Boutique Engineering Firm with Structural Focus for Schools,"$1,459,369"
"$389,217",Construction,"Chicago, IL, USA","Well-Established, Growing Interior Design firm / Chicago Suburbs","$2,549,128"
"$425,518",Technology,"California, USA",703872 - IT Managed Services Company,"$937,216"
$0,Food,"Miami, FL, USA",JRZ Hydration,$0
"$180,007",Consumer Services,"Michigan, USA",Lawn Service & Landscaping Company - 843,"$902,445"
"$300,000",Software,"Boston, MA, USA",Revolutionizing Business Operations: The PulseSync Project,"$700,000"
"$190,000",Wholesale,"Beckley, WV, USA",Solid Net Income WV Casket Distributor Company 1195,"$800,000"
"$5,330,000",Wholesale,United States,CashFlow Acquisitions Ecommerce Stores,"$15,250,000"
"$1,399,660",Construction,"North Carolina, USA",Commercial Electrical Contracting Firm,"$6,009,895"
"$365,424",Business Services,"Itasca County, MN, USA",Lucrative and Well-Established Staffing Business,"$4,902,498"
"$366,333",Manufacturing,"Omaha, NE, USA",Fabrication of Precision Machine Parts: 100% B2B,"$1,146,849"
"$663,392",Manufacturing,"Milwaukee, WI, USA",Producer of Large Pre-Fabricated Metal Structures for Commercial Purposes,"$4,050,971"
"$100,000",Healthcare,"California, USA",Mental health business in northern California with absentee owners,"$700,000"
"$50,000",Business Services,"New York, NY, USA",Software company AI for automatic meeting scheduling,"$100,000"
"$307,000",Wholesale,"Napa County, CA, USA",Wine Industry: French Barrels and Fermentation Products,"$884,247"
"$2,600,000",Manufacturing,"Arizona, USA",Specialty Subsea Product designer/Manufacturer & Engineering,"$7,000,000"
"$772,991",Business Services,"Columbus, OH, USA",IT Staffing Firm with Offshore Consultants,"$3,238,045"
"$160,707",Construction,"Indiana, USA",Profitable USA Insulation Franchise North Central Indiana - 835,"$2,699,657"
"$305,110",Construction,"Indiana, USA",Profitable Pool Installation Company - Northern Indiana - 800,"$1,273,691"
"$435,884",Business Services,"Michigan, USA",Established Commercial and Residential Landscape Management Business - 145,"$2,435,779"
"$125,000",Business Services,"Seattle, WA, USA",Profitable CPA Business Rooted in Greater Seattle,"$525,000"
"$120,000",Transportation,"San Diego, CA, USA",Pride + Honesty + Integrity = 24% Cash Flow!,"$620,000"
"$120,000",Consumer Services,"Seattle, WA, USA",Remote Operated Special Needs Education Coaching & Tutoring,"$400,000"
"$200,000",Construction,"Idaho, USA",Incredible Opportunity in Northern Idaho - Thriving Plumbing Business,"$950,000"
$0,Food,New York,Produce Packaging company,"$6,000,000"
"$780,000",Manufacturing,"New York State, USA",Contract Manufacturer provider of Total Manufacturing (Design to Delivery),"$6,470,000"
"$1,795,945",Construction,"New York, NY, USA",Commercial Roofing – 100% Recurring Clients – No Storm Chasing,"$18,146,275"
$0,Technology,"Atlanta, GA, USA",Lucrative Fantasy Sports Gaming app with MASSIVE upside potential,"$2,500,000"
"$65,000",Consumer Services,"Virginia, USA",Campground For Sale in VA,"$156,000"
"$86,000",Consumer Services,"Puyallup, WA, USA",Pinnacle Painting Opportunity in the Heart of Washington!,"$460,000"
"$170,000",Manufacturing,"Phoenix, AZ, USA","Remote Business, Work from anywhere, Machine Fabrication","$520,000"
$1,Consumer Services,"Miami, FL, USA",Off Market Car Wash & Detailing,"$1,100,000"
"$133,228",Food,"Grand Rapids, Michigan, USA",Mertens Prime Restaurant - 844,"$1,760,000"
"$261,949",Business Services,"Michigan, USA",Specialized Medical Staff Provider - 230,"$3,000,841"
"$300,000",Utilities,"Washington D.C., DC, USA",Premier Interior Staging Solutions Business,"$1,000,000"
"$160,000",Utilities,"Oregon, USA",Oregon's Premier Construction Supply Business w/ Growth Potential,"$2,500,000"
"$400,000",Technology,"Charleston, SC, USA",Excellent owner-operator opportunity for tech services business,"$2,000,000"
"$1,000,000",Construction,"Florida, USA",20+ year old Florida based $1.0 million EBITDA HVAC biz for sale,"$11,000,000"
"$1,440,687",Construction,"Fresno, CA, USA",Civil Engineering Practice Focused on Wastewater & Disaster Area Relief,"$3,589,882"
"$1,000,000",Technology,"Illinois, USA",Best-In-Class Hardware Company Looking to sell controlling interest,"$5,000,000"
"$2,500,000",Construction,"Florida, USA",Healthy and Profitable Roofing Company in SouthEast US,"$20,000,000"
"$100,000,000",Business Services,"Philadelphia, PA, USA",Looking for SBA searchers to invest their equity injections for ownership,"$100,000,000"
"$400,000",Consumer Services,"Boston, MA, USA",Mobile oil change and detailing,"$1,000,000"
"$180,000",Manufacturing,"Florida, USA",Florida's Premier Precast & Foam Solution,"$2,500,000"
"$317,960",Business Services,"Tacoma, WA, USA",Premier Cannabis Accounting and Bookkeeping Firm 1194,"$825,867"
"$100,000",Software,"Texas, USA",Award-winning Nearshore Software Firm on the Market for Acquisition,"$1,000,000"
"$1,246,000",Healthcare,"California, USA",Remote Healthcare Business For Sale,"$4,396,000"
"$300,000",Wholesale,"Portland, OR, USA",Oregon Construction Supply,"$2,500,000"
"$1,200,000",Retail,United States,Patented photography accessories company - omnichannel brand,"$5,000,000"
"$818,616",Consumer Services,"Los Angeles, CA, USA",National Online Platform for Moving and Home Services,"$1,678,941"
"$209,000",Wholesale,"Illinois, USA",2319PC Electrical Wholesale Distributor,"$1,700,000"
"$280,000",Consumer Services,"Detroit, MI, USA",Full-Service Event Venue Company for Sale 1193,"$395,000"
"$816,000",Manufacturing,"California, USA",Manufacturer/Supplier of Custom Store Fixtures & Displays,"$4,800,000"
"$100,000",Manufacturing,"Maine, USA",Sustainable Clog Brand & Manufacturing,"$150,000"
"$508,101",Wholesale,"Colorado, USA",Landscape Related Business -  $500K+ SDE - Seller Financing Available,"$2,983,380"
"$864,877",Software,USA,GoSchoolBox -End-to-end Software Infrastructure for the Education Sector,"$1,931,996"
"$30,000,000",Manufacturing,"Los Angeles, CA, USA",30MM Plus EBITDA Small Arms Manufacturing Company 1192,"$90,000,000"
"$1,000",Consumer Services,"Los Angeles, CA, USA",Los Angeles Based High End Skincare Brand for Sale 1191,"$2,000"
"$160,000",Retail,"Boston, MA, USA",Boston Area Fun & Profitable Retail Toy Store 1190,"$1,000,000"
"$1,209,421",Construction,"New York, NY, USA",Architecture Firm Specialized in K-12 & Universities with 5 million in Bac,"$5,755,434"
"$850,000",Manufacturing,"Los Angeles, CA, USA","Precision Aerospace Parts Manufacturer for sale, $8 M revenue $850k EBITDA","$8,000,000"
"$323,265",Retail,"Michigan, USA",Window Treatment Retail Store - 218,"$1,004,102"
"$459,919",Consumer Services,"Oakhurst, CA, USA",New Jersey Landscaping Company for Sale 1189,"$1,588,041"
"$879,342",Transportation,Omaha,Midwest Based Truck Driver Training Center,"$1,774,457"
"$17,923",Franchise,"Midlands, South Carolina",B2B Catering Franchise – Great Location - 842,"$621,342"
"$128,463",Franchise,"Virginia, USA",Profitable Glass Repair & Installation Franchise - 840,"$1,512,596"
"$725,098",Retail,"Illinois, USA",Niche Maintenance Equipment Dealer - 227,"$15,003,026"
"$766,244",Retail,United States,Collectible Car Sales Company - 224,"$19,027,020"
"$864,000",Manufacturing,"Washington, USA","$6.9M Sales, $850k+ Cash Flow, Stone Manufacturer, 50+ years in Biz","$6,949,000"
"$2,500,000",Manufacturing,"Arizona, USA",office fixtures and cabinet millwork and manufacturing,"$15,000,000"
"$2,700,000",Media,"Los Angeles, CA, USA",Music Rights Management Service,"$19,700,000"
"$700,000",Business Services,Alabama,Off Market Residential Fencing Company in Alabama,"$4,000,000"
"$500,000",Business Services,Iowa,Off Market HVAC Company - 50/50 Residential and Commercial,"$3,000,000"
"$750,000",Construction,"Illinois, USA",Union Electrical Contractor in the Great Lakes Region,"$12,000,000"
"$955,000",Software,"Portland, Oregon, USA",Full-Service Design & In-Person Sales (IPS)  Software Platform For Photogra,"$2,100,000"
"$1,200,000",Construction,"Columbus, OH, USA",Closet Design & Manufacturing Business,"$6,700,000"
"$159,027",Business Services,USA,Tempe Collision Repair Center,"$2,600,000"
"$750,000",Franchise,"Medford, NY, USA","High-performing, semi-absentee, auto accessory sales business","$3,433,000"
"$514,000",Construction,"Alabama, USA",Fence Contractor: Residential & Commercial,"$3,077,477"
"$470,000",Manufacturing,"Mississippi, USA",Sign Company,"$1,962,000"
"$9,700",Food,"Key West, FL, USA",Award Winning Food and Wine Festival 1187,"$110,000"
"$1,343,000",Consumer Services,"Santa Monica, CA, USA",High Profit Food Service Consultancy for Sale 1186,"$8,200,000"
"$80,000",Food,"Missoula, MT",Breakfast Eatery Golden Yolk Griddle,"$350,000"
"$120,000",Consumer Services,"Missoula, MT",Ink Refill and Sales Company,"$600,000"
"$60,000",Consumer Services,"Hamilton, MT, USA",Dog Care Facility,"$200,000"
"$100,000",Manufacturing,"Florence, MT, USA","Distillery: Gin, Vodka, Brandy Manufacturer","$500,000"
"$577,708",Business Services,"Albuquerque, NM, USA",Vinyl Fabrication with 100% Wholesale to Distributors,"$2,296,715"
"$137,908",Software,"Texas, USA",Safe Driving App,"$205,693"
"$590,140",Software,"New York State, USA",Custom Software Development Company,"$4,370,595"
"$2,502,035",Food,"New York, NY, USA",Wholesale Produce Distributor HACCP Certified Pre-Cut Vegetable Manuf. 1200,"$47,660,513"
"$105,000",Food,"Santa Monica, CA, USA",Woman Owned Winery with Nationwide Recognition 1185,"$500,000"
"$112,000",Consumer Services,"Rutland, MA, USA",Professional & Profitable Lawn Care Business with over 400 Clients 1184,"$700,000"
"$816,317",Food,"San Jose, CA, USA",4 Experience-Based Profit-Serving Restaurant Chain 1183,"$8,214,000"
"$267,048",Technology,"Texas, USA","IT Support Provider (Texas, USA)","$1,143,715"
"$381,580",Retail,California,BOAT SALES BUSINESS,"$6,918,908"
"$2,340,000",Software,"Waxhaw, NC, USA",Software Development and Engineering Company 1182,"$8,000,000"
